Memento,2000,4.0
Lust,2007,0.5
Spirited Away,2001,3.5
The Lobster,2015,3.5
Solo: A Star Wars Story,2018,3.0
The Imitation Game,2014,3.5
Triple Frontier,2019,3.0
Wing,2012,0.5
2001: A Space Odyssey,1968,5.0
A Trip to the Moon,1902,3.5
Roundhay Garden Scene,1888,0.5
Hamlet,1990,3.5
Spring Breakers,2012,2.0
Don Jon,2013,1.0
In Bruges,2008,4.0
The Big Shave,1967,2.5
Lost in Translation,2003,4.5
Kingsman: The Golden Circle,2017,2.0
Kingsman: The Secret Service,2014,2.0
The Menu,2022,3.5
One Flew Over the Cuckoo's Nest,1975,3.5
The Royal Tenenbaums,2001,5.0
Babylon,2022,4.0
Call Me by Your Name,2017,5.0
Léon: The Professional,1994,5.0
Dazed and Confused,1993,4.0
Psycho,1960,4.0
American History X,1998,4.0
12 Angry Men,1957,5.0
National Theatre Live: Hamlet,2015,4.0
Hamlet,2018,5.0
Hamlet,1996,4.0
Enemy,2013,3.5
GoodFellas,1990,5.0
GoodFellas,1990,5.0
Split,2016,2.5
Hamlet,2009,4.5
The Banshees of Inisherin,2022,4.0
Aftersun,2022,5.0
Tenet,2020,3.5
Hot Fuzz,2007,3.0
Drive,2011,5.0
The Nice Guys,2016,4.0
Swiss Army Man,2016,3.5
Safety,2019,1.0
Do Revenge,2022,2.5
The Wolf of Wall Street,2013,3.5
Blade Runner 2049,2017,5.0
Glass Onion,2022,0.5
It's a Wonderful Life,1946,5.0
21 Jump Street,2012,2.5
That's My Boy,2012,2.5
Pulp Fiction,1994,4.5
The Fallout,2021,1.5
Once Upon a Time… in Hollywood,2019,5.0
The Departed,2006,4.0
Beautiful Boy,2018,5.0
We Are Who We Are,2020,4.0
Bones and All,2022,5.0
The Talented Mr. Ripley,1999,4.5
Good Will Hunting,1997,5.0
Blue Valentine,2010,4.0
The Karate Kid,1984,3.0
Lars and the Real Girl,2007,3.5
Stay,2005,4.0
Palm Springs,2020,0.5
Love Actually,2003,4.5
Buffalo '66,1998,5.0
The Virgin Suicides,1999,5.0
How to Lose a Guy in 10 Days,2003,5.0
The Holiday,2006,3.5
How to Lose a Guy in 10 Days,2003,5.0
The Perks of Being a Wallflower,2012,5.0
Your Christmas or Mine?,2022,0.5
Bullet Train,2022,4.0
Equilibrium,2002,2.0
Straight Outta Compton,2015,3.0
Birds of Paradise,2021,5.0
La Haine,1995,4.5
Naked,1993,4.0
Christiane F.,1981,4.0
Mysterious Skin,2004,5.0
Trainspotting,1996,5.0
The Place Beyond the Pines,2012,3.0
"Crazy, Stupid, Love.",2011,3.0
Hypnotic,2021,0.5
Don't Worry Darling,2022,2.5
Dahmer – Monster: The Jeffrey Dahmer Story,2022,0.5
Brick,2005,3.0
Carrie,1976,3.5
Another Round,2020,3.5
Hellbound: Hellraiser II,1988,1.5
Scream,1996,3.0
Jigsaw,2017,0.5
Friday the 13th,2009,0.5
Mulholland Drive,2001,4.0
mid90s,2018,4.0
A Nightmare on Elm Street,2010,0.5
Texas Chainsaw Massacre,2022,0.5
Pearl,2022,4.5
X,2022,3.5
Blonde,2022,0.5
The Godfather,1972,4.5
Mysterious Skin,2004,5.0
(500) Days of Summer,2009,5.0
It,2017,3.0
Bend It Like Beckham,2002,0.5
She's All That,1999,0.5
She's the Man,2006,4.0
The Florida Project,2017,3.0
Red Lights,2012,0.5
Fallen Angels,1995,5.0
We Cry Together,2022,2.5
Donnie Darko,2001,5.0
Lady Bird,2017,5.0
Elvis,2022,3.5
To All the Boys: Always and Forever,2021,0.5
To All the Boys: P.S. I Still Love You,2020,1.0
To All the Boys I've Loved Before,2018,2.5
Nope,2022,2.5
Closer,2004,3.5
House of Gucci,2021,3.0
Last Night in Soho,2021,3.5
Lamb,2021,2.5
"I, Tonya",2017,3.5
The Craft,1996,2.5
The Fifth Element,1997,3.5
What's Eating Gilbert Grape,1993,3.0
Donnie Darko,2001,5.0
The Notebook,2004,5.0
Primal Fear,1996,4.5
The Goldfinch,2019,4.0
Little Women,2019,4.5
Donnie Darko,2001,5.0
The Perks of Being a Wallflower,2012,5.0
Annihilation,2018,3.5
10 Things I Hate About You,1999,5.0
Scary Movie,2000,2.5
American Pie Presents: The Naked Mile,2006,2.5
American Pie 2,2001,3.5
American Pie,1999,5.0
The Invisible Man,2020,1.5
The Gray Man,2022,0.5
House at the End of the Street,2012,4.0
Gerald's Game,2017,0.5
The F**k-It List,2020,0.5
The Edge of Seventeen,2016,3.0
